850.00	39.06	85538
850.00	38.89	85785
850.00	38.68	86033
850.00	38.51	86280
850.00	38.31	86528
850.00	38.14	86775
850.00	37.94	87022
850.00	37.77	87269
850.00	37.56	87516
850.00	37.43	87763
850.00	37.26	88010
850.00	37.09	88258
850.00	36.92	88505
850.00	36.78	88752
850.00	36.58	89000
850.00	36.48	89247
850.00	36.31	89494
850.00	36.14	89741
850.00	36.00	89988
850.00	35.83	90235
850.00	35.73	90483
850.00	35.59	90730
850.00	35.46	90977
850.00	35.29	91224
850.00	35.15	91472
850.00	35.02	91719
850.00	34.92	91966
850.00	34.75	92213
850.00	34.64	92460
850.00	34.51	92707
850.00	34.37	92954
850.00	34.27	93202
850.00	34.14	93449
850.00	34.03	93696
850.00	33.90	93943
850.00	33.80	94190
850.00	33.66	94438
850.00	33.59	94685
850.00	33.46	94932
850.00	33.36	95180
850.00	33.22	95427
850.00	33.12	95674
850.00	33.02	95921
850.00	32.91	96168
850.00	32.81	96416
850.00	32.75	96663
850.00	32.61	96910
850.00	32.51	97157
850.00	32.44	97404
850.00	32.30	97651
850.00	32.20	97899
850.00	32.10	98146
850.00	32.03	98393
850.00	31.90	98640
850.00	31.83	98888
850.00	31.73	99135
850.00	31.63	99382
850.00	31.52	99629
850.00	31.46	99877
850.00	31.36	100124
850.00	31.25	100371
850.00	31.22	100619
850.00	31.12	100866
850.00	31.02	101114
850.00	30.91	101361
850.00	30.85	101608
850.00	30.71	101855
850.00	30.64	102102
850.00	30.54	102349
850.00	30.47	102596
850.00	30.41	102844
850.00	30.30	103091
850.00	30.24	103338
850.00	30.10	103586
850.00	30.00	103833
848.93	29.93	104080
846.80	29.83	104327
845.65	29.76	104574
843.51	29.66	104821
842.34	29.59	105068
840.19	29.49	105316
839.96	29.46	105563
837.73	29.36	105811
836.48	29.29	106058
835.21	29.22	106305
833.91	29.15	106552
832.60	29.09	106799
831.28	29.02	107046
829.94	28.95	107293
828.60	28.88	107541
826.30	28.78	107788
825.00	28.71	108035
824.65	28.68	108283
823.29	28.61	108530
821.92	28.54	108777
820.55	28.48	109024
819.19	28.41	109271
817.82	28.34	109518
816.45	28.27	109765
815.09	28.21	110012
813.72	28.14	110260
814.27	28.14	110507
812.80	28.07	110754
811.35	28.00	111001
810.87	27.97	111248
809.38	27.90	111495
807.92	27.83	111743
807.42	27.80	111990
805.94	27.73	112237
805.43	27.70	112484
803.95	27.63	112731
803.44	27.60	112979
801.95	27.53	113226
800.47	27.46	113473
799.98	27.43	113720
799.45	27.39	113967
798.89	27.36	114214
797.35	27.29	114461
795.85	27.22	114709
795.32	27.19	114956
795.72	27.19	115203
795.09	27.16	115451
793.48	27.09	115698
792.87	27.05	115945
793.21	27.05	116192
791.56	26.99	116439
791.88	26.99	116686
789.26	26.88	116934
789.62	26.88	117181
789.91	26.88	117428
789.20	26.85	117676
787.53	26.78	117923
786.87	26.75	118170
787.17	26.75	118417
785.50	26.68	118664
785.80	26.68	118911
785.08	26.65	119158
783.42	26.58	119406
782.77	26.55	119653
782.12	26.51	119900
781.47	26.48	120148
780.81	26.44	120395
780.16	26.41	120642
779.50	26.38	120889
778.83	26.34	121136
777.21	26.28	121383
776.60	26.24	121631
775.97	26.21	121878
774.39	26.14	122125
773.80	26.11	122372
772.25	26.04	122620
771.70	26.00	122867
771.12	25.97	123114
770.53	25.94	123361
768.97	25.87	123608
768.40	25.84	123856
767.81	25.80	124103
767.20	25.77	124350
765.62	25.70	124597
765.03	25.67	124844
764.43	25.63	125092
762.86	25.57	125339
763.24	25.57	125586
761.64	25.50	125833
761.04	25.46	126080
759.47	25.40	126327
758.90	25.36	126575
758.31	25.33	126822
757.70	25.29	127069
757.08	25.26	127316
755.49	25.19	127564
754.90	25.16	127811
754.30	25.13	128058
753.68	25.09	128305
753.05	25.06	128553
751.45	24.99	128800
750.85	24.96	129048
750.24	24.92	129295
748.67	24.85	129542
748.09	24.82	129790
748.45	24.82	130037
746.83	24.75	130284
747.17	24.75	130531
746.48	24.72	130778
744.84	24.65	131025
745.16	24.65	131272
743.50	24.58	131520
741.90	24.52	131767
741.31	24.48	132014
741.66	24.48	132262
740.04	24.41	132509
