Timestamp	Current measurement	Current temperature
4/24/2018 3:07:52	4.757895	15.430881
4/24/2018 3:16:33	4.760766	15.397079
4/24/2018 3:20:53	4.604306	15.36338
4/24/2018 3:25:12	3.934928	15.36338
4/24/2018 3:33:53	4.656938	15.329681
4/24/2018 3:38:13	4.61244	15.36338
4/24/2018 3:42:33	4.756938	15.329681
4/24/2018 3:46:53	4.624402	15.329681
4/24/2018 3:51:14	4.455024	15.262182
4/24/2018 3:59:53	4.631579	15.228484
4/24/2018 4:04:13	4.548326	15.228484
4/24/2018 4:08:33	4.687081	15.262182
4/24/2018 4:12:53	4.68421	15.194787
4/24/2018 4:17:13	4.652632	15.194787
4/24/2018 4:21:33	4.309091	15.161089
4/24/2018 4:25:53	3.327751	15.161089
4/24/2018 4:30:13	3.910048	15.127291
4/24/2018 4:34:45	4.40622	15.161089
4/24/2018 4:38:53	4.351675	15.161089
4/24/2018 4:43:13	4.578469	15.127291
4/24/2018 4:51:56	4.610048	15.093595
4/24/2018 4:56:14	4.285168	15.093595
4/24/2018 5:00:34	3.586124	15.093595
4/24/2018 5:04:54	4.146411	15.059897
4/24/2018 5:09:14	4.445455	15.059897
4/24/2018 5:13:34	4.489474	15.0261
4/24/2018 5:17:54	4.507656	15.0261
4/24/2018 5:22:14	4.513397	14.992405
4/24/2018 5:26:34	4.253589	14.992405
4/24/2018 5:30:54	3.595215	14.992405
4/24/2018 5:35:15	3.80622	14.992405
4/24/2018 5:39:34	4.285168	14.95871
4/24/2018 5:43:55	4.506699	14.992405
4/24/2018 5:48:16	4.575119	14.924913
4/24/2018 5:52:35	4.663636	14.924913
4/24/2018 5:56:55	4.460765	14.924913
4/24/2018 6:01:15	4.120574	14.924913
4/24/2018 6:05:36	4.239713	14.891218
4/24/2018 6:09:55	3.651196	14.891218
4/24/2018 6:14:15	4.604306	14.891218
4/24/2018 6:22:55	4.731101	14.857524
4/24/2018 6:27:15	4.773684	14.823729
4/24/2018 6:31:35	4.789952	14.823729
4/24/2018 6:35:56	4.438278	14.823729
4/24/2018 6:40:16	3.979904	14.823729
4/24/2018 6:44:36	3.326794	14.790035
4/24/2018 6:48:56	4.025837	14.790035
4/24/2018 6:53:16	4.578948	14.790035
4/24/2018 6:57:36	4.721053	14.756342
4/24/2018 7:01:56	4.899521	14.756342
4/24/2018 7:06:16	4.852632	14.756342
4/24/2018 7:10:36	4.637321	14.722548
4/24/2018 7:14:57	4.213876	14.722548
4/24/2018 7:19:16	3.549761	14.722548
4/24/2018 7:23:36	3.436364	14.722548
4/24/2018 7:27:56	4.559809	14.722548
4/24/2018 7:32:16	4.791866	14.688854
4/24/2018 7:36:37	4.778947	14.655162
4/24/2018 7:40:57	4.779426	14.655162
4/24/2018 7:45:17	4.702871	14.655162
4/24/2018 7:49:36	4.430622	14.655162
4/24/2018 7:53:57	3.936364	14.62147
4/24/2018 8:02:37	3.597608	14.587778
4/24/2018 8:06:57	4.605742	14.587778
4/24/2018 8:11:17	4.87177	14.587778
4/24/2018 8:15:37	4.822967	14.587778
4/24/2018 8:19:57	4.814833	14.587778
4/24/2018 8:24:17	4.638756	14.587778
4/24/2018 8:28:37	4.284689	14.553986
4/24/2018 8:32:57	3.920574	14.520295
4/24/2018 8:37:18	3.158373	14.553986
4/24/2018 8:41:38	3.507656	14.553986
4/24/2018 8:45:58	4.513875	14.520295
4/24/2018 8:50:18	4.714354	14.553986
4/24/2018 8:54:38	4.770813	14.486604
4/24/2018 8:58:58	4.700479	14.486604
4/24/2018 9:03:18	4.549282	14.486604
4/24/2018 9:07:38	4.234928	14.486604
4/24/2018 9:11:58	3.825359	14.486604
4/24/2018 9:16:18	3.169857	14.452812
4/24/2018 9:20:38	3.296651	14.486604
4/24/2018 9:24:58	4.460287	14.486604
4/24/2018 9:33:38	4.847368	14.452812
4/24/2018 9:38:01	4.917703	14.419123
4/24/2018 9:42:19	4.801914	14.419123
4/24/2018 9:46:38	4.372727	14.419123
4/24/2018 9:51:00	4.04689	14.419123
4/24/2018 9:55:18	3.533971	14.419123
4/24/2018 9:59:39	3.02201	14.419123
4/24/2018 10:03:59	3.995694	14.385433
4/24/2018 10:08:19	4.591866	14.385433
4/24/2018 10:12:39	4.688517	14.385433
4/24/2018 10:16:59	4.613875	14.385433
4/24/2018 10:21:19	4.593301	14.351643
4/24/2018 10:25:39	4.301914	14.351643
4/24/2018 10:29:59	3.902392	14.351643
4/24/2018 10:34:20	3.379904	14.385433
4/24/2018 10:38:39	3.01866	14.351643
4/24/2018 10:42:59	3.027751	14.351643
4/24/2018 10:47:20	4.106699	14.351643
4/24/2018 10:51:40	4.430622	14.317953
4/24/2018 10:56:00	4.472727	14.351643
4/24/2018 11:00:20	4.462679	14.317953
4/24/2018 11:04:40	4.350718	14.317953
4/24/2018 11:09:00	3.924402	14.317953
4/24/2018 11:13:20	3.638278	14.351643
4/24/2018 11:17:41	3.319139	14.317953
4/24/2018 11:22:00	2.826316	14.317953
4/24/2018 11:26:20	3.748804	14.284265
4/24/2018 11:30:40	4.358852	14.317953
4/24/2018 11:35:01	4.525837	14.284265
4/24/2018 11:39:20	4.472249	14.284265
4/24/2018 11:43:41	4.392344	14.250475
4/24/2018 11:48:01	4.020574	14.284265
4/24/2018 11:52:24	3.65933	14.250475
4/24/2018 11:56:41	3.383254	14.250475
4/24/2018 12:01:01	2.989952	14.250475
4/24/2018 12:05:21	2.765072	14.250475
4/24/2018 12:14:01	4.34067	14.250475
4/24/2018 12:18:21	4.439713	14.216787
4/24/2018 12:22:42	4.337321	14.216787
4/24/2018 12:35:42	3.646411	14.216787
4/24/2018 12:40:02	3.293301	14.216787
4/24/2018 12:44:22	2.97512	14.216787
4/24/2018 12:48:42	2.42823	14.216787
4/24/2018 12:53:02	3.344498	14.216787
4/24/2018 12:57:22	3.976077	14.1831
4/24/2018 13:06:03	4.100479	14.1831
4/24/2018 13:10:23	3.967464	14.1831
4/24/2018 13:14:42	3.652632	14.149311
4/24/2018 13:19:03	3.328708	14.149311
4/24/2018 13:23:23	3.119139	14.1831
4/24/2018 13:27:43	2.801914	14.1831
4/24/2018 13:32:03	2.208612	14.149311
4/24/2018 13:36:23	3.086603	14.149311
4/24/2018 13:40:43	3.725359	14.149311
4/24/2018 13:45:03	3.728708	14.149311
4/24/2018 13:49:23	3.788995	14.115624
4/24/2018 13:53:43	3.606699	14.115624
4/24/2018 13:58:04	3.272249	14.115624
4/24/2018 14:02:25	2.995215	14.115624
4/24/2018 14:06:43	2.713397	14.115624
4/24/2018 14:11:04	2.337799	14.115624
4/24/2018 14:19:44	2.831579	14.115624
4/24/2018 14:24:04	3.322967	14.081938
4/24/2018 14:28:24	3.420574	14.081938
4/24/2018 14:32:44	3.42488	14.115624
4/24/2018 14:37:05	3.236364	14.081938
4/24/2018 14:41:25	2.968899	14.048251
4/24/2018 14:45:45	2.677033	14.048251
4/24/2018 14:50:05	2.58134	14.048251
4/24/2018 14:54:25	1.755024	14.081938
4/24/2018 14:58:45	2.767943	14.048251
4/24/2018 15:03:05	3.131579	14.048251
4/24/2018 15:11:45	3.207177	14.014464
4/24/2018 15:16:05	2.944498	14.048251
